video_id,title,channel,url,published_at,duration_formatted,duration_seconds,view_count,like_count,comment_count,engagement_ratio,audio_path,audio_total_duration,audio_silence_ratio,audio_zero_crossing_rate,audio_mean_volume,transcription_status,transcription_audio_duration,num_speakers,speakers_list,num_segments,avg_confidence,detected_languages,dataset_score,estimated_speech_ratio,video_avg_confidence,video_dataset_score,video_detected_languages,niche,llm_score,llm_reason,tags,category_id,default_language,default_audio_language,caption_available,definition,licensed_content,projection,privacy_status,made_for_kids,topic_categories,passed_filters,failed_filters,description_preview
V5xkxDPaN2o,Lớp học hè đặc biệt của trẻ em miền di sản | VTV24,VTV24,https://www.youtube.com/watch?v=V5xkxDPaN2o,2026-06-14T00:00:00Z,2m 58s,178,186,10,0,5.38,Lop_hoc_he_đac_biet_cua_tre_em_mien_di_san_VTV24.wav,,,,,completed,177.853,1,SPEAKER_00,22,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""miền di sản"", ""trẻ em"", ""Lớp học hè"", ""quan họ""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"Thay vì lớp học thêm hay trại hè kỹ năng, những bạn nhỏ tại tỉnh Bắc Ninh - miền đất của di sản quan họ lại có một mùa hè đặc biệt. Khi những làn điệu"
YD97qZi28KA,Kinh nghiệm cắm trại an toàn | VTV24,VTV24,https://www.youtube.com/watch?v=YD97qZi28KA,2026-06-14T00:00:00Z,2m 50s,170,511,13,0,2.54,Kinh_nghiem_cam_trai_an_toan_VTV24.wav,,,,,completed,170.086,1,SPEAKER_00,25,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""an toàn"", ""cắm trại"", ""Kinh nghiệm""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"Cắm trại giữa thiên nhiên đang là lựa chọn trải nghiệm được nhiều gia đình và bạn trẻ ưa chuộng. Tuy nhiên, các khu vực ven suối, vùng núi hay rừng tự"
U4hJ2BrmKoA,Đẩy mạnh chi trả lương hưu qua tài khoản ngân hàng | VTV24,VTV24,https://www.youtube.com/watch?v=U4hJ2BrmKoA,2026-06-14T00:00:00Z,2m 44s,164,521,5,0,0.96,Đay_manh_chi_tra_luong_huu_qua_tai_khoan_ngan_hang_VTV24.wav,,,,,completed,163.77,1,SPEAKER_00,20,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""chi trả"", ""lương hưu"", ""tài khoản ngân hàng"", ""chuyển đổi số""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"Nhận lương hưu qua tài khoản ngân hàng không chỉ là câu chuyện thay đổi phương thức chi trả. Với nhiều người cao tuổi, đó còn là bước khởi đầu để làm "
JbRMI3Lltyw,Thủ môn Yassine Bounou xuất sắc giúp Morocco giữ lại 1 điểm trước Brazil | World Cup 2026 | VTV24,VTV24,https://www.youtube.com/watch?v=JbRMI3Lltyw,2026-06-14T00:00:00Z,52s,52,1056,5,0,0.47,Thu_mon_Yassine_Bounou_xuat_sac_giup_Morocco_giu_lai_1_điem_truoc_Brazil_World_Cup_2026_VTV24.wav,,,,,completed,51.84,1,SPEAKER_00,9,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""Bounou"", ""Morocco"", ""Brazil"", ""World Cup"", ""2026"", ""thủ môn"", ""xuất sắc"", ""cứu thua"", ""1 điểm"", ""hòa"", ""phản xạ"", ""VTV24"", ""Yassine Bounou cứu thua xuất sắc"", ""thủ môn Morocco nản lòng Brazil"", ""Bounou chặn đứng Vinicius"", ""Morocco cầm hòa Brazil"", ""màn trình diễn đẳng cấp của Bounou"", ""kết quả bóng đá Brazil vs Morocco"", ""thể thao VTV24""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,Thủ môn Yassine Bounou xuất sắc giúp Morocco giữ lại 1 điểm trước Brazil | World Cup 2026. ---------- Ứng dụng VTVgo Android: https://bit.ly/305aQL
xbHb2qAK8fQ,Cơn sốt du lịch làm đẹp | VTV24,VTV24,https://www.youtube.com/watch?v=xbHb2qAK8fQ,2026-06-14T00:00:00Z,2m 40s,160,522,7,0,1.34,Con_sot_du_lich_lam_đep_VTV24.wav,,,,,completed,160.322,1,SPEAKER_00,20,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""du lịch"", ""làm đẹp"", ""Hàn Quốc"", ""phẫu thuật thẩm mỹ""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"K-pop và K-beauty từng tạo ra một làn sóng văn hóa. Giờ đây, dao kéo và trị liệu cũng trở thành ‘mũi nhọn’ tiếp theo, củng cố vị thế Hàn Quốc như một "
Q_JBa0jMSJE,"Saibari lốp bóng một chạm, ghi bàn giúp Morocco dẫn trước Brazil | World Cup 2026 | VTV24",VTV24,https://www.youtube.com/watch?v=Q_JBa0jMSJE,2026-06-14T00:00:00Z,56s,56,962,8,0,0.83,Saibari_lop_bong_mot_cham_ghi_ban_giup_Morocco_dan_truoc_Brazil_World_Cup_2026_VTV24.wav,,,,,completed,56.299,1,SPEAKER_00,8,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""Saibari"", ""Morocco"", ""Brazil"", ""World Cup"", ""2026"", ""lốp bóng"", ""một chạm"", ""dẫn trước"", ""bất ngờ"", ""siêu phẩm"", ""VTV24"", ""Ismael Saibari ghi bàn vào lưới Brazil"", ""Saibari lốp bóng đẳng cấp World Cup"", ""Morocco bất ngờ dẫn trước Brazil"", ""siêu phẩm một chạm của Saibari"", ""kết quả bóng đá Brazil vs Morocco"", ""cú sốc địa chấn World Cup 2026"", ""thể thao VTV24""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"Phút 21, từ một tình huống triển khai tấn công mạch lạc ở khu vực trung lộ, Brahim Diaz thực hiện đường chọc khe loại bỏ hoàn toàn hàng phòng ngự Braz"
F-Ofow1Bu_o,Hoắc Thành - Thủ phủ hoa oải hương của Trung Quốc | VTV24,VTV24,https://www.youtube.com/watch?v=F-Ofow1Bu_o,2026-06-14T00:00:00Z,5m 3s,303,882,21,0,2.38,Hoac_Thanh_-_Thu_phu_hoa_oai_huong_cua_Trung_Quoc_VTV24.wav,,,,,completed,302.602,1,SPEAKER_00,37,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""Trung Quốc"", ""hoa oải hương"", ""Thủ phủ"", ""Hoắc Thành""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"Hoắc Thành - một huyện biên giới ở phía bắc Khu tự trị dân tộc Duy Ngô Nhĩ Tân Cương, Trung Quốc với những cánh đồng hoa oải hương tím biếc, ngát hươn"
qQbMq9-7Dro,Bàn thắng đẳng cấp của Vinicius vào lưới Morocco | World Cup 2026 | VTV24,VTV24,https://www.youtube.com/watch?v=qQbMq9-7Dro,2026-06-14T00:00:00Z,55s,55,1749,21,1,1.26,Ban_thang_đang_cap_cua_Vinicius_vao_luoi_Morocco_World_Cup_2026_VTV24.wav,,,,,completed,54.848,1,SPEAKER_00,12,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""Vinicius"", ""Brazil"", ""Morocco"", ""World Cup"", ""2026"", ""bàn thắng"", ""đẳng cấp"", ""solo"", ""lừa bóng"", ""siêu phẩm"", ""VTV24"", ""Vinicius Junior ghi bàn Morocco"", ""Vinicius tỏa sáng World Cup 2026"", ""bàn thắng đẳng cấp của Vinicius Jr"", ""siêu phẩm solo của Vinicius"", ""kết quả bóng đá Brazil vs Morocco"", ""ngôi sao Real Madrid rực sáng"", ""thể thao VTV24""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,Tiền đạo Vinicius tỏa sáng với một pha xử lý đẳng cấp giúp Brazil giành lại 1 điểm trong trận hòa 1-1 trước Morocco ở lượt trận ra quân bảng C World C
pLwUjIA5usA,"Highlights World Cup 2026: Qatar – Thụy Sĩ | Đòn trừng phạt phút 90+4, điểm số lịch sử | VTV24",VTV24,https://www.youtube.com/watch?v=pLwUjIA5usA,2026-06-14T00:00:00Z,1m 55s,115,6618,19,0,0.29,Highlights_World_Cup_2026_Qatar_Thuy_Si_Đon_trung_phat_phut_90_4_điem_so_lich_su_VTV24.wav,,,,,completed,115.413,1,SPEAKER_00,16,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""world cup 2026"", ""qatar vs thuy si"", ""penalty thuy si"", ""var world cup"", ""kết quả bóng đá"", ""thuy si penalty"", ""highlights tran dau"", ""video ban thang"", ""embolo ghi ban"", ""khoukhi gỡ hòa"", ""tranh cai var"", ""kịch tính phút bù giờ"", ""bảng b world cup"", ""highlights qatar thuy si"", ""world cup"", ""vtv3 trực tiếp"", ""wc 2026"", ""vtvgo"", ""trực tiếp bóng đá world cup"", ""trực tiếp world cup""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"Qatar đã giành được điểm số đầu tiên trong lịch sử tham dự World Cup. Trong khi đó, Thụy Sĩ chỉ có thể tự trách mình sau 90 phút mà họ đã phung phí qu"
U1HLXn_-Be0,Chuyển động ngày 14/6: Tư duy ‘sao chép’ không còn dễ ‘thoát hiểm’ | VTV24,VTV24,https://www.youtube.com/watch?v=U1HLXn_-Be0,2026-06-14T00:00:00Z,27m 57s,1677,3952,51,0,1.29,Chuyen_đong_ngay_14_6_Tu_duy_sao_chep_khong_con_de_thoat_hiem_VTV24.wav,,,,,completed,1676.651,1,SPEAKER_00,199,,"[""Tiếng VI-ORIG""]",,0.0,0.0,0.0,,,0.0,,"[""tin tức"", ""vtv24"", ""tin tức vtv"", ""thời sự vtv"", ""thời sự vtv24"", ""tin tức trong ngày"", ""chuyển động 24h"", ""tintuc"", ""tin tuc"", ""copy"", ""paste"", ""sao chép"", ""dán"", ""tư duy"", ""thoát hiểm""]",News & Politics,vi,,True,hd,False,rectangular,public,False,[],passed_all_criteria,,"Tuần qua, tư duy copy, paste - ‘sao chép’ và ‘dán’ đã bị phát giác trên thương trường và trong phòng thi. Sao chép làm giả đồ ăn, thức uống đến áo quầ"
